Time,Ligand,Kurtosis,Mean,Date,Cell,Dose,Skew,Variance,alphStatCov,Bivalent
2.0,IL15,3.9643331880817447,2156.4896551356032,3/15/2019,Treg,0.001423,1.9439194140385256,208509516.290823,561549.719145901,0
2.0,IL15,17.705536025007593,0.0,3/15/2019,Treg,0.000474,3.799328885445923,114812520.99130374,129927.04806494435,0
1.0,IL15,0.47025992156763197,51980.7372380162,3/15/2019,Treg,84.0,-0.6928545388079305,378269372.5016992,-276871.49630793475,0
1.0,IL15,0.3739036553262176,53681.43085343682,3/15/2019,Treg,28.0,-0.7492071500447027,442584066.2400615,-404582.62892512296,0
1.0,IL15,0.2010872231224874,51365.80491568157,3/15/2019,Treg,9.333333,-0.6891220733129431,491588890.892055,-1047077.3365720973,0
1.0,IL15,0.4846318317184788,50005.40225139143,3/15/2019,Treg,3.111,-0.7131666177870821,408942388.9797872,-160666.07025935617,0
1.0,IL15,-0.17037061502146855,42194.71108567266,3/15/2019,Treg,1.037037,-0.22444351252714734,373327561.6704004,-159783.85957993066,0
1.0,IL15,0.2209326283130939,15922.495214299908,3/15/2019,Treg,0.345679,0.809310802190326,317750778.5998238,586836.4874946725,0
1.0,IL15,2.0636707264169267,5788.434026997704,3/15/2019,Treg,0.115226,1.4941089552286102,231221848.70221853,620541.8889381426,0
1.0,IL15,3.622470035441708,2603.1147714345316,3/15/2019,Treg,0.038409,1.9555257310328469,215411459.13300103,700673.9937086351,0
1.0,IL15,4.917995344721441,2414.7645833315273,3/15/2019,Treg,0.012803,2.0909399290097808,209098305.5551038,813064.93315166,0
1.0,IL15,1.0080066418949292,9128.587131815,3/15/2019,Treg,0.004268,1.347168582760001,406692990.60990924,1382015.8796755727,0
1.0,IL15,3.6589957863812588,3806.848287589786,3/15/2019,Treg,0.001423,1.885572858182639,229646438.81564978,1134233.2504586526,0
1.0,IL15,3.8870173167408986,2849.7360438006053,3/15/2019,Treg,0.000474,1.923633606626975,215697336.75675806,1182115.0330568233,0
0.5,IL15,0.6249302992667434,53278.01718146355,3/15/2019,Treg,84.0,-0.7250550168995546,396673948.5266756,-186651.52344531432,0
0.5,IL15,0.5699935762908348,52749.12057376108,3/15/2019,Treg,28.0,-0.6593554956801818,398917246.6260098,-407821.8884295571,0
0.5,IL15,0.4233917763061239,54609.95776964828,3/15/2019,Treg,9.333333,-0.642345357935311,400039142.37833375,-322260.42671116313,0
0.5,IL15,0.37172735563359804,52461.949056359714,3/15/2019,Treg,3.111,-0.5346443587338301,384475552.886399,-471772.01746457117,0
0.5,IL15,0.32702450557023743,46222.03757092717,3/15/2019,Treg,1.037037,-0.40551074324577513,351270842.88274455,82966.8039726471,0
0.5,IL15,2.815391238710739,6593.7339090854675,3/15/2019,Treg,0.345679,1.5115902231324432,156585666.21029246,237849.56428512873,0
0.5,IL15,4.7151153191175545,1756.5911414902112,3/15/2019,Treg,0.115226,1.9884901812030942,136117640.89268994,400284.62513128645,0
0.5,IL15,8.300090839782385,2.701561438389035,3/15/2019,Treg,0.038409,2.6560745545725397,154469897.41555676,391413.31358906784,0
0.5,IL15,8.140241708141499,0.0,3/15/2019,Treg,0.012803,2.6328803111730723,123784440.23496066,327650.43471420056,0
0.5,IL15,4.6011242726157136,2291.7961850279535,3/15/2019,Treg,0.004268,2.1483646949184916,226297404.9084117,863988.3020484413,0
0.5,IL15,5.275509988331541,620.855538718175,3/15/2019,Treg,0.001423,2.2215904135004534,160621747.16988373,477015.34265877097,0
0.5,IL15,5.825011528401431,0.0,3/15/2019,Treg,0.000474,2.3574143144959545,131157062.04653637,952416.9508554586,0
4.0,IL2,0.08766555788421515,19485.18483930429,3/15/2019,Thelper,84.0,1.0182997917233951,518397602.2889549,238240.0783813434,0
4.0,IL2,0.18764610347347999,20144.754921674827,3/15/2019,Thelper,28.0,1.0770679960840717,583531177.4466406,345471.80371933477,0
4.0,IL2,-0.2722077644553105,22520.686017416167,3/15/2019,Thelper,9.333333,0.9364805459700861,682008512.8888153,451820.7448008172,0
4.0,IL2,0.09354934480102539,21186.375062060917,3/15/2019,Thelper,3.111,1.0656912327118446,636643813.1039677,285156.01316939614,0
4.0,IL2,1.1464179263785068,16666.406744315507,3/15/2019,Thelper,1.037037,1.451777433196099,541168788.0037946,369600.66041727585,0
4.0,IL2,1.3376406179737454,15458.731503668323,3/15/2019,Thelper,0.345679,1.5193324520000475,518041984.3725453,371695.28491422476,0
4.0,IL2,4.1949848864237875,9646.504985707346,3/15/2019,Thelper,0.115226,2.123994907164193,300942183.206577,243088.1106820117,0
4.0,IL2,16.42551324151631,3683.912178803362,3/15/2019,Thelper,0.038409,3.7193742833742465,102509761.13671799,106488.81746732902,0
4.0,IL2,55.809605033777466,935.081836551371,3/15/2019,Thelper,0.012803,6.29666799272435,20455294.715169616,53348.41852340613,0
4.0,IL2,176.19606206055315,154.3463659148465,3/15/2019,Thelper,0.004268,10.202332465128817,5757595.012994201,18848.27936027348,0
4.0,IL2,465.0209925269536,0.0,3/15/2019,Thelper,0.001423,13.667410227166942,3191023.2579317284,16401.89833918601,0
4.0,IL2,62.8623844718543,0.0,3/15/2019,Thelper,0.000474,4.93504130938288,2325319.7330176802,7550.081037319012,0
