Dose,Bin,Time,Mean,Date,NumCells,Cell,Ligand,Bivalent
0.001423,1,1.0,0.0,11/8/2019,187,Treg,WT N-term,0.0
0.001423,2,1.0,0.0,11/8/2019,237,Treg,WT N-term,0.0
0.001423,3,1.0,3394.1523,11/8/2019,94,Treg,WT N-term,0.0
0.000474,1,1.0,0.0,11/8/2019,148,Treg,WT N-term,0.0
0.000474,2,1.0,0.0,11/8/2019,223,Treg,WT N-term,0.0
0.000474,3,1.0,0.0,11/8/2019,86,Treg,WT N-term,0.0
84.0,1,0.5,18454.518,11/8/2019,173,Treg,WT N-term,0.0
84.0,2,0.5,27059.234,11/8/2019,256,Treg,WT N-term,0.0
84.0,3,0.5,32503.984,11/8/2019,111,Treg,WT N-term,0.0
28.0,1,0.5,21361.576,11/8/2019,159,Treg,WT N-term,0.0
28.0,2,0.5,28657.027,11/8/2019,219,Treg,WT N-term,0.0
28.0,3,0.5,32025.98,11/8/2019,107,Treg,WT N-term,0.0
9.333333,1,0.5,12837.771,11/8/2019,164,Treg,WT N-term,0.0
9.333333,2,0.5,22413.268,11/8/2019,209,Treg,WT N-term,0.0
9.333333,3,0.5,31433.992,11/8/2019,74,Treg,WT N-term,0.0
3.111,1,0.5,12415.58,11/8/2019,156,Treg,WT N-term,0.0
3.111,2,0.5,24315.605,11/8/2019,207,Treg,WT N-term,0.0
3.111,3,0.5,34556.44,11/8/2019,73,Treg,WT N-term,0.0
1.037037,1,0.5,8060.284,11/8/2019,135,Treg,WT N-term,0.0
1.037037,2,0.5,15038.809,11/8/2019,183,Treg,WT N-term,0.0
1.037037,3,0.5,23755.768,11/8/2019,73,Treg,WT N-term,0.0
0.345679,1,0.5,9201.617,11/8/2019,187,Treg,WT N-term,0.0
0.345679,2,0.5,19290.047,11/8/2019,209,Treg,WT N-term,0.0
0.345679,3,0.5,31602.441,11/8/2019,101,Treg,WT N-term,0.0
0.115226,1,0.5,1906.7402,11/8/2019,121,Treg,WT N-term,0.0
0.115226,2,0.5,6827.367,11/8/2019,210,Treg,WT N-term,0.0
0.115226,3,0.5,14359.357,11/8/2019,74,Treg,WT N-term,0.0
0.038409,1,0.5,1142.1377,11/8/2019,189,Treg,WT N-term,0.0
0.038409,2,0.5,5750.7715,11/8/2019,241,Treg,WT N-term,0.0
0.038409,3,0.5,13339.123,11/8/2019,100,Treg,WT N-term,0.0
0.012803,1,0.5,0.0,11/8/2019,153,Treg,WT N-term,0.0
0.012803,2,0.5,0.0,11/8/2019,232,Treg,WT N-term,0.0
0.012803,3,0.5,3578.6553,11/8/2019,61,Treg,WT N-term,0.0
0.004268,1,0.5,0.0,11/8/2019,203,Treg,WT N-term,0.0
0.004268,2,0.5,357.99365,11/8/2019,197,Treg,WT N-term,0.0
0.004268,3,0.5,2842.2236,11/8/2019,83,Treg,WT N-term,0.0
0.001423,1,0.5,0.0,11/8/2019,155,Treg,WT N-term,0.0
0.001423,2,0.5,0.0,11/8/2019,209,Treg,WT N-term,0.0
0.001423,3,0.5,461.39062,11/8/2019,85,Treg,WT N-term,0.0
0.000474,1,0.5,0.0,11/8/2019,135,Treg,WT N-term,0.0
0.000474,2,0.5,0.0,11/8/2019,160,Treg,WT N-term,0.0
0.000474,3,0.5,397.72363,11/8/2019,79,Treg,WT N-term,0.0
84.0,1,4.0,19017.383,11/8/2019,197,Treg,WT N-term,1
84.0,2,4.0,24365.64,11/8/2019,287,Treg,WT N-term,1
84.0,3,4.0,30319.9,11/8/2019,146,Treg,WT N-term,1
28.0,1,4.0,18066.63,11/8/2019,194,Treg,WT N-term,1
28.0,2,4.0,23063.01,11/8/2019,334,Treg,WT N-term,1
28.0,3,4.0,27262.646,11/8/2019,151,Treg,WT N-term,1
9.333333,1,4.0,14158.168,11/8/2019,183,Treg,WT N-term,1
9.333333,2,4.0,19624.535,11/8/2019,237,Treg,WT N-term,1
9.333333,3,4.0,21329.14,11/8/2019,135,Treg,WT N-term,1
3.111,1,4.0,14758.24,11/8/2019,177,Treg,WT N-term,1
3.111,2,4.0,18700.812,11/8/2019,249,Treg,WT N-term,1
3.111,3,4.0,20907.63,11/8/2019,133,Treg,WT N-term,1
1.037037,1,4.0,11404.871,11/8/2019,168,Treg,WT N-term,1
1.037037,2,4.0,13348.816,11/8/2019,259,Treg,WT N-term,1
1.037037,3,4.0,17612.209,11/8/2019,111,Treg,WT N-term,1
0.345679,1,4.0,14897.338,11/8/2019,203,Treg,WT N-term,1
0.345679,2,4.0,18365.525,11/8/2019,283,Treg,WT N-term,1
0.345679,3,4.0,23868.861,11/8/2019,125,Treg,WT N-term,1
0.115226,1,4.0,12202.441,11/8/2019,183,Treg,WT N-term,1
0.115226,2,4.0,12846.619,11/8/2019,266,Treg,WT N-term,1
0.115226,3,4.0,16731.037,11/8/2019,110,Treg,WT N-term,1
0.038409,1,4.0,13755.727,11/8/2019,151,Treg,WT N-term,1
0.038409,2,4.0,17898.764,11/8/2019,216,Treg,WT N-term,1
0.038409,3,4.0,18678.059,11/8/2019,90,Treg,WT N-term,1
0.012803,1,4.0,8244.375,11/8/2019,213,Treg,WT N-term,1
0.012803,2,4.0,14989.863,11/8/2019,252,Treg,WT N-term,1
0.012803,3,4.0,17986.076,11/8/2019,130,Treg,WT N-term,1
0.004268,1,4.0,4426.748,11/8/2019,194,Treg,WT N-term,1
0.004268,2,4.0,9960.242,11/8/2019,244,Treg,WT N-term,1
0.004268,3,4.0,14310.957,11/8/2019,101,Treg,WT N-term,1
0.001423,1,4.0,1247.8779,11/8/2019,157,Treg,WT N-term,1
0.001423,2,4.0,3235.3193,11/8/2019,181,Treg,WT N-term,1
0.001423,3,4.0,6613.922,11/8/2019,78,Treg,WT N-term,1
0.000474,1,4.0,533.07324,11/8/2019,110,Treg,WT N-term,1
0.000474,2,4.0,1112.4795,11/8/2019,201,Treg,WT N-term,1
0.000474,3,4.0,5301.005,11/8/2019,94,Treg,WT N-term,1
84.0,1,2.0,19026.164,11/8/2019,150,Treg,WT N-term,1
84.0,2,2.0,22883.578,11/8/2019,275,Treg,WT N-term,1
84.0,3,2.0,30925.225,11/8/2019,113,Treg,WT N-term,1
28.0,1,2.0,18410.754,11/8/2019,219,Treg,WT N-term,1
28.0,2,2.0,22128.229,11/8/2019,261,Treg,WT N-term,1
28.0,3,2.0,30091.412,11/8/2019,115,Treg,WT N-term,1
9.333333,1,2.0,16933.162,11/8/2019,145,Treg,WT N-term,1
9.333333,2,2.0,18974.055,11/8/2019,232,Treg,WT N-term,1
9.333333,3,2.0,27185.014,11/8/2019,84,Treg,WT N-term,1
3.111,1,2.0,15110.57,11/8/2019,124,Treg,WT N-term,1
3.111,2,2.0,16939.943,11/8/2019,226,Treg,WT N-term,1
3.111,3,2.0,27451.475,11/8/2019,119,Treg,WT N-term,1
1.037037,1,2.0,10314.686,11/8/2019,114,Treg,WT N-term,1
1.037037,2,2.0,14619.703,11/8/2019,218,Treg,WT N-term,1
1.037037,3,2.0,20203.812,11/8/2019,89,Treg,WT N-term,1
0.345679,1,2.0,12665.791,11/8/2019,155,Treg,WT N-term,1
0.345679,2,2.0,19648.389,11/8/2019,242,Treg,WT N-term,1
0.345679,3,2.0,29897.361,11/8/2019,92,Treg,WT N-term,1
0.115226,1,2.0,10898.086,11/8/2019,125,Treg,WT N-term,1
0.115226,2,2.0,13678.547,11/8/2019,200,Treg,WT N-term,1
0.115226,3,2.0,22389.643,11/8/2019,71,Treg,WT N-term,1
0.038409,1,2.0,7962.54,11/8/2019,173,Treg,WT N-term,1
0.038409,2,2.0,15880.844,11/8/2019,207,Treg,WT N-term,1
0.038409,3,2.0,23042.682,11/8/2019,87,Treg,WT N-term,1
0.012803,1,2.0,2586.787,11/8/2019,164,Treg,WT N-term,1
0.012803,2,2.0,9671.861,11/8/2019,211,Treg,WT N-term,1
0.012803,3,2.0,16895.275,11/8/2019,92,Treg,WT N-term,1
0.004268,1,2.0,1.4082031,11/8/2019,151,Treg,WT N-term,1
0.004268,2,2.0,2806.8467,11/8/2019,184,Treg,WT N-term,1
0.004268,3,2.0,8170.365,11/8/2019,61,Treg,WT N-term,1
0.001423,1,2.0,0.0,11/8/2019,136,Treg,WT N-term,1
0.001423,2,2.0,0.0,11/8/2019,171,Treg,WT N-term,1
0.001423,3,2.0,0.0,11/8/2019,60,Treg,WT N-term,1
0.000474,1,2.0,0.0,11/8/2019,92,Treg,WT N-term,1
0.000474,2,2.0,0.0,11/8/2019,169,Treg,WT N-term,1
0.000474,3,2.0,0.0,11/8/2019,57,Treg,WT N-term,1
84.0,1,1.0,17244.508,11/8/2019,149,Treg,WT N-term,1
84.0,2,1.0,23697.256,11/8/2019,210,Treg,WT N-term,1
84.0,3,1.0,30241.268,11/8/2019,108,Treg,WT N-term,1
28.0,1,1.0,17263.205,11/8/2019,148,Treg,WT N-term,1
28.0,2,1.0,24284.47,11/8/2019,191,Treg,WT N-term,1
28.0,3,1.0,28186.72,11/8/2019,79,Treg,WT N-term,1
9.333333,1,1.0,16688.299,11/8/2019,126,Treg,WT N-term,1
9.333333,2,1.0,20098.566,11/8/2019,153,Treg,WT N-term,1
9.333333,3,1.0,31518.256,11/8/2019,91,Treg,WT N-term,1
3.111,1,1.0,15102.566,11/8/2019,136,Treg,WT N-term,1
3.111,2,1.0,21967.62,11/8/2019,189,Treg,WT N-term,1
3.111,3,1.0,28887.87,11/8/2019,95,Treg,WT N-term,1
1.037037,1,1.0,12914.166,11/8/2019,109,Treg,WT N-term,1
1.037037,2,1.0,17370.182,11/8/2019,166,Treg,WT N-term,1
1.037037,3,1.0,16671.062,11/8/2019,77,Treg,WT N-term,1
0.345679,1,1.0,14555.844,11/8/2019,150,Treg,WT N-term,1
0.345679,2,1.0,22277.77,11/8/2019,183,Treg,WT N-term,1
0.345679,3,1.0,24167.93,11/8/2019,75,Treg,WT N-term,1
0.115226,1,1.0,11159.92,11/8/2019,119,Treg,WT N-term,1
0.115226,2,1.0,16798.158,11/8/2019,149,Treg,WT N-term,1
0.115226,3,1.0,19203.555,11/8/2019,60,Treg,WT N-term,1
0.038409,1,1.0,7701.288,11/8/2019,203,Treg,WT N-term,1
0.038409,2,1.0,17430.156,11/8/2019,176,Treg,WT N-term,1
0.038409,3,1.0,24429.838,11/8/2019,45,Treg,WT N-term,1
0.012803,1,1.0,1419.2314,11/8/2019,134,Treg,WT N-term,1
0.012803,2,1.0,8189.826,11/8/2019,190,Treg,WT N-term,1
0.012803,3,1.0,16942.818,11/8/2019,64,Treg,WT N-term,1
0.004268,1,1.0,0.0,11/8/2019,115,Treg,WT N-term,1
0.004268,2,1.0,2451.2578,11/8/2019,163,Treg,WT N-term,1
0.004268,3,1.0,7905.8184,11/8/2019,64,Treg,WT N-term,1
0.001423,1,1.0,0.0,11/8/2019,132,Treg,WT N-term,1
0.001423,2,1.0,0.0,11/8/2019,170,Treg,WT N-term,1
0.001423,3,1.0,0.0,11/8/2019,65,Treg,WT N-term,1
0.000474,1,1.0,0.0,11/8/2019,150,Treg,WT N-term,1
0.000474,2,1.0,0.0,11/8/2019,174,Treg,WT N-term,1
0.000474,3,1.0,2119.0918,11/8/2019,55,Treg,WT N-term,1
84.0,1,0.5,22695.68,11/8/2019,129,Treg,WT N-term,1
84.0,2,0.5,30864.002,11/8/2019,196,Treg,WT N-term,1
84.0,3,0.5,36965.992,11/8/2019,89,Treg,WT N-term,1
28.0,1,0.5,13248.156,11/8/2019,169,Treg,WT N-term,1
28.0,2,0.5,21739.215,11/8/2019,220,Treg,WT N-term,1
28.0,3,0.5,37068.312,11/8/2019,108,Treg,WT N-term,1
9.333333,1,0.5,14028.412,11/8/2019,112,Treg,WT N-term,1
9.333333,2,0.5,23136.469,11/8/2019,195,Treg,WT N-term,1
9.333333,3,0.5,32273.666,11/8/2019,108,Treg,WT N-term,1
3.111,1,0.5,17291.986,11/8/2019,136,Treg,WT N-term,1
3.111,2,0.5,29489.623,11/8/2019,230,Treg,WT N-term,1
3.111,3,0.5,31036.326,11/8/2019,101,Treg,WT N-term,1
1.037037,1,0.5,17920.672,11/8/2019,156,Treg,WT N-term,1
1.037037,2,0.5,25961.986,11/8/2019,175,Treg,WT N-term,1
1.037037,3,0.5,33330.234,11/8/2019,65,Treg,WT N-term,1
0.345679,1,0.5,18192.352,11/8/2019,108,Treg,WT N-term,1
0.345679,2,0.5,26657.393,11/8/2019,185,Treg,WT N-term,1
0.345679,3,0.5,30208.87,11/8/2019,71,Treg,WT N-term,1
0.115226,1,0.5,7235.2715,11/8/2019,128,Treg,WT N-term,1
0.115226,2,0.5,18836.809,11/8/2019,157,Treg,WT N-term,1
