Ligand,Date,Cell,Dose,Variance,Mean,Skew,Kurtosis,alphStatCov,Time,Bivalent
WT N-term,11/8/2019,Thelper,3.111,82602936.0,4293.054,2.958363,10.000025,872313.0334066598,2.0,0
WT N-term,11/8/2019,Thelper,1.037037,34943956.0,2335.3306,3.3437445,14.588444,502639.7251452458,2.0,0
WT N-term,11/8/2019,Thelper,0.345679,11366759.0,912.9531,5.486528,48.569374,170163.02741821294,2.0,0
WT N-term,11/8/2019,Thelper,0.115226,4223963.0,159.83398,5.5671263,59.07737,45737.18524043223,2.0,0
WT N-term,11/8/2019,Thelper,0.038409,2841475.8,211.5857,4.4493494,50.984287,-16818.58933634594,2.0,0
WT N-term,11/8/2019,Thelper,0.012803,1828040.2,47.64502,1.563831,7.2674456,-38656.40415787194,2.0,0
WT N-term,11/8/2019,Thelper,0.004268,2571894.5,105.987305,4.443235,68.29379,-38438.32613123434,2.0,0
WT N-term,11/8/2019,Thelper,0.001423,2335290.8,77.22754,2.7015378,18.903784,-28775.88567413807,2.0,0
WT N-term,11/8/2019,Thelper,0.000474,2267508.0,47.79883,4.835155,105.51809,-46310.92192575824,2.0,0
WT N-term,11/8/2019,Thelper,84.0,188803300.0,11769.201,1.13323,0.7179153,579776.7508332083,1.0,0
WT N-term,11/8/2019,Thelper,28.0,153793400.0,9679.282,1.4841485,2.014894,645247.0821395933,1.0,0
WT N-term,11/8/2019,Thelper,9.333333,112331170.0,5893.6924,2.205183,4.7683277,1146421.0266139354,1.0,0
WT N-term,11/8/2019,Thelper,3.111,111609890.0,5558.7197,2.4622748,6.5591726,1147752.2797665216,1.0,0
WT N-term,11/8/2019,Thelper,1.037037,34641824.0,2313.312,3.2983525,13.329226,558975.0583114993,1.0,0
WT N-term,11/8/2019,Thelper,0.345679,13024404.0,1016.824,5.248981,39.314133,222916.2055956349,1.0,0
WT N-term,11/8/2019,Thelper,0.115226,3070736.8,63.93457,8.013059,202.98781,2130.033965723952,1.0,0
WT N-term,11/8/2019,Thelper,0.038409,2251198.5,103.5708,2.9170167,24.960957,-19472.7147951935,1.0,0
WT N-term,11/8/2019,Thelper,0.012803,2882739.8,67.50244,14.979156,740.03485,-28694.22101812192,1.0,0
WT N-term,11/8/2019,Thelper,0.004268,2660361.0,0.0,7.938176,238.87651,-32371.980888972226,1.0,0
WT N-term,11/8/2019,Thelper,0.001423,2817100.0,64.11157,6.565076,151.88965,-38402.59116139774,1.0,0
WT N-term,11/8/2019,Thelper,0.000474,2426210.0,0.0,8.461165,311.76794,-58194.98210436826,1.0,0
WT N-term,11/8/2019,Thelper,84.0,193183860.0,12946.098,1.0813648,0.847558,794670.4269813517,0.5,0
WT N-term,11/8/2019,Thelper,28.0,195232640.0,12074.281,1.2524374,1.1320281,1180295.1949652282,0.5,0
WT N-term,11/8/2019,Thelper,9.333333,130737210.0,6558.8193,2.0498078,3.9296522,1291873.284075362,0.5,0
WT N-term,11/8/2019,Thelper,3.111,102303280.0,5133.7275,2.5102937,6.829014,1089758.9840954186,0.5,0
WT N-term,11/8/2019,Thelper,1.037037,14800921.0,1124.873,4.3067403,25.076607,255607.29148237206,0.5,0
WT N-term,11/8/2019,Thelper,0.345679,22640708.0,1638.8071,4.405287,26.61731,353620.02494927624,0.5,0
WT N-term,11/8/2019,Thelper,0.115226,3350608.8,85.3728,4.6552215,46.709,32078.230410312128,0.5,0
WT N-term,11/8/2019,Thelper,0.038409,3281345.8,196.14502,4.7910557,49.814194,8084.538923343294,0.5,0
WT N-term,11/8/2019,Thelper,0.012803,2358153.2,182.96094,4.621356,85.60908,-25887.55548484901,0.5,0
WT N-term,11/8/2019,Thelper,0.004268,2616394.5,197.43066,4.2723513,54.967705,-17782.17312329312,0.5,0
WT N-term,11/8/2019,Thelper,0.001423,5317857.0,152.85864,20.854856,715.4763,-30111.024057976974,0.5,0
WT N-term,11/8/2019,Thelper,0.000474,2597433.0,22.243652,8.890393,298.11227,-21469.99876357111,0.5,0
WT N-term,11/8/2019,Thelper,84.0,174755780.0,10787.844,1.3239785,1.6183667,714129.4282928349,4.0,1
WT N-term,11/8/2019,Thelper,28.0,139911250.0,9039.848,1.4803789,2.1449733,685971.5403724283,4.0,1
WT N-term,11/8/2019,Thelper,9.333333,110480630.0,7814.0576,1.656877,2.9800105,637505.6088502462,4.0,1
WT N-term,11/8/2019,Thelper,3.111,100781660.0,6188.119,2.1320345,5.030198,721539.4346406882,4.0,1
WT N-term,11/8/2019,Thelper,1.037037,60909030.0,3767.1572,2.552621,7.5834436,677994.2869596037,4.0,1
WT N-term,11/8/2019,Thelper,0.345679,92282824.0,4554.382,2.688989,7.914654,946681.0489603844,4.0,1
WT N-term,11/8/2019,Thelper,0.115226,60539310.0,3270.516,2.6528068,7.812291,814746.97933825,4.0,1
WT N-term,11/8/2019,Thelper,0.038409,80298320.0,3826.6313,2.9043424,9.469218,876461.4199779866,4.0,1
WT N-term,11/8/2019,Thelper,0.012803,36975480.0,2148.0508,3.8950565,19.585674,513440.2294587963,4.0,1
WT N-term,11/8/2019,Thelper,0.004268,10109457.0,683.4038,5.9277816,58.969646,170980.30843934978,4.0,1
WT N-term,11/8/2019,Thelper,0.001423,3358709.8,172.15063,5.418752,69.24163,8092.855610022495,4.0,1
WT N-term,11/8/2019,Thelper,0.000474,2977993.8,0.0,4.3339953,41.369873,7525.133147954782,4.0,1
WT N-term,11/8/2019,Thelper,84.0,137392180.0,8855.432,1.5099919,2.143424,374801.1205303965,2.0,1
WT N-term,11/8/2019,Thelper,28.0,117371400.0,7918.9414,1.7028278,3.2430158,289553.9254266299,2.0,1
WT N-term,11/8/2019,Thelper,9.333333,86152420.0,5274.677,2.6005008,8.499929,498326.6145973524,2.0,1
WT N-term,11/8/2019,Thelper,3.111,68181670.0,3839.0981,2.9600916,9.91417,643150.8671859327,2.0,1
WT N-term,11/8/2019,Thelper,1.037037,50747676.0,2937.9888,3.0942485,12.415239,661996.8466826644,2.0,1
WT N-term,11/8/2019,Thelper,0.345679,75346460.0,3889.6865,3.0605316,10.425003,741996.3423067533,2.0,1
WT N-term,11/8/2019,Thelper,0.115226,37158480.0,2379.9639,2.8325222,9.064762,581998.091003035,2.0,1
WT N-term,11/8/2019,Thelper,0.038409,18251892.0,1149.7007,4.974222,38.08736,288528.8474911608,2.0,1
WT N-term,11/8/2019,Thelper,0.012803,5653482.0,362.10132,6.0039215,65.67501,87531.3435106253,2.0,1
WT N-term,11/8/2019,Thelper,0.004268,2786342.2,184.25049,4.1002793,47.89879,7387.490701357131,2.0,1
WT N-term,11/8/2019,Thelper,0.001423,2631366.2,0.0,7.658587,199.36072,-28583.91384286861,2.0,1
WT N-term,11/8/2019,Thelper,0.000474,2400140.8,0.0,11.853898,509.47803,-31879.92410246537,2.0,1
WT N-term,11/8/2019,Thelper,84.0,160622180.0,10727.591,1.2137343,1.0982018,390316.69988290826,1.0,1
WT N-term,11/8/2019,Thelper,28.0,140729980.0,9852.287,1.2768618,1.3114715,220719.7770978439,1.0,1
WT N-term,11/8/2019,Thelper,9.333333,114151304.0,7206.167,1.9339399,3.8015976,655569.8631868588,1.0,1
WT N-term,11/8/2019,Thelper,3.111,96359310.0,5273.34,2.425823,6.0697794,911293.615622946,1.0,1
WT N-term,11/8/2019,Thelper,1.037037,55252870.0,3803.7236,2.1666288,4.715278,765567.1578919064,1.0,1
WT N-term,11/8/2019,Thelper,0.345679,105227750.0,5655.6396,2.2186759,4.9901757,1052095.4193058969,1.0,1
WT N-term,11/8/2019,Thelper,0.115226,31371592.0,2271.1445,3.0130548,11.646759,570014.9191117678,1.0,1
WT N-term,11/8/2019,Thelper,0.038409,16312516.0,1378.2334,4.120161,22.774551,322286.78224580834,1.0,1
WT N-term,11/8/2019,Thelper,0.012803,3723210.2,299.1316,4.01292,32.22513,58997.887203152204,1.0,1
WT N-term,11/8/2019,Thelper,0.004268,2225711.5,47.301514,2.5272207,20.608484,159.29376342026947,1.0,1
WT N-term,11/8/2019,Thelper,0.001423,2677262.5,70.56152,9.921769,298.42615,-24771.19431521482,1.0,1
WT N-term,11/8/2019,Thelper,0.000474,2071775.8,0.0,2.8461049,31.271862,-29669.480800728088,1.0,1
WT N-term,11/8/2019,Thelper,84.0,243647780.0,15652.844,0.88354546,0.21786499,836570.7743185069,0.5,1
WT N-term,11/8/2019,Thelper,28.0,254075710.0,14657.471,1.0595276,0.6310744,1118344.2546537018,0.5,1
WT N-term,11/8/2019,Thelper,9.333333,179072700.0,10300.979,1.5681859,2.1499853,1368122.6719706694,0.5,1
WT N-term,11/8/2019,Thelper,3.111,201357730.0,9366.879,1.6958572,2.30294,1654401.7930836205,0.5,1
WT N-term,11/8/2019,Thelper,1.037037,154202130.0,7858.24,1.740785,2.5000515,1526180.828984625,0.5,1
WT N-term,11/8/2019,Thelper,0.345679,144881970.0,6952.618,2.0194046,3.7624764,1423084.5070666159,0.5,1
WT N-term,11/8/2019,Thelper,0.115226,18090576.0,1541.4028,4.053715,22.11248,368738.00934040704,0.5,1
WT N-term,11/8/2019,Thelper,0.038409,5077817.5,597.6543,5.334864,55.973064,105912.23383913857,0.5,1
WT N-term,11/8/2019,Thelper,0.012803,2220881.2,65.21387,3.63414,51.7042,-3783.087226526575,0.5,1
WT N-term,11/8/2019,Thelper,0.004268,3903124.0,54.529785,14.287216,433.53787,-20827.743188390632,0.5,1
WT N-term,11/8/2019,Thelper,0.001423,2794874.5,84.80444,11.915422,478.56888,-19625.093947004025,0.5,1
WT N-term,11/8/2019,Thelper,0.000474,1986460.4,154.573,1.8246727,14.708031,-21077.484321826523,0.5,1
H16N N-term,11/8/2019,Treg,84.0,252960160.0,16711.293,1.0762831,1.3762493,1551970.7892513212,4.0,0
H16N N-term,11/8/2019,Treg,28.0,273905400.0,15368.802,0.8772824,0.37096834,1696803.3431907305,4.0,0
H16N N-term,11/8/2019,Treg,9.333333,259721620.0,14343.938,0.95653474,0.5102277,1643733.373072863,4.0,0
H16N N-term,11/8/2019,Treg,3.111,266411730.0,13579.058,1.1574544,1.0801578,1736552.565690887,4.0,0
H16N N-term,11/8/2019,Treg,1.037037,244888830.0,13700.438,1.0198278,0.6793544,1590611.4682738576,4.0,0
H16N N-term,11/8/2019,Treg,0.345679,186266080.0,11145.312,1.1587046,1.370429,1619784.4287068779,4.0,0
H16N N-term,11/8/2019,Treg,0.115226,157235500.0,9467.534,1.4243146,2.6446004,1667060.4142613153,4.0,0
H16N N-term,11/8/2019,Treg,0.038409,116429384.0,7736.427,1.181308,1.2709146,1361347.9412066906,4.0,0
H16N N-term,11/8/2019,Treg,0.012803,96770216.0,4152.2217,1.6834677,4.195279,1222370.0105870692,4.0,0
H16N N-term,11/8/2019,Treg,0.004268,72963380.0,1162.1338,1.7081522,5.156826,699801.2625255648,4.0,0
H16N N-term,11/8/2019,Treg,0.001423,99169460.0,2357.21,1.9480855,7.6942787,970916.2979771739,4.0,0
H16N N-term,11/8/2019,Treg,0.000474,93572640.0,0.0,2.4700758,13.454058,523653.81592646183,4.0,0
H16N N-term,11/8/2019,Treg,84.0,251990820.0,14959.997,0.967552,0.59622073,1436245.0733995799,2.0,0
H16N N-term,11/8/2019,Treg,28.0,275707460.0,14197.136,0.90791065,0.3067894,1681605.5709142904,2.0,0
H16N N-term,11/8/2019,Treg,9.333333,234623220.0,13261.776,0.9031502,0.37507415,1365490.1839131275,2.0,0
H16N N-term,11/8/2019,Treg,3.111,225724110.0,11595.046,1.0596939,0.7039473,1541028.563261099,2.0,0
H16N N-term,11/8/2019,Treg,1.037037,177528800.0,8565.942,1.3036752,1.1469026,1427165.9510974265,2.0,0
H16N N-term,11/8/2019,Treg,0.345679,126741480.0,6484.9697,1.2849169,1.3952351,1297467.2441030385,2.0,0
H16N N-term,11/8/2019,Treg,0.115226,83290136.0,3976.6162,1.6797354,5.999366,851899.2000172774,2.0,0
H16N N-term,11/8/2019,Treg,0.038409,78252660.0,2163.3604,1.7983457,5.9477386,751262.8421003051,2.0,0
H16N N-term,11/8/2019,Treg,0.012803,77164536.0,1926.1943,2.0471592,9.563727,721903.8173820032,2.0,0
H16N N-term,11/8/2019,Treg,0.004268,84684550.0,367.76172,1.7405452,6.195565,545269.4996132031,2.0,0
H16N N-term,11/8/2019,Treg,0.001423,76091110.0,0.0,1.7568237,5.3097954,777387.9968159125,2.0,0
H16N N-term,11/8/2019,Treg,0.000474,77173970.0,1151.373,1.1609881,1.7773666,646606.1850547574,2.0,0
H16N N-term,11/8/2019,Treg,84.0,301133800.0,17296.965,0.7646159,-0.049861193,1451201.7440612218,1.0,0
H16N N-term,11/8/2019,Treg,28.0,273545630.0,14773.96,1.0239022,0.7166743,1381670.58722951,1.0,0
H16N N-term,11/8/2019,Treg,9.333333,203519550.0,10738.946,1.0998181,0.84502363,1294431.8366364632,1.0,0
H16N N-term,11/8/2019,Treg,3.111,196678660.0,10716.61,1.2649808,1.5593643,1378548.069000651,1.0,0
H16N N-term,11/8/2019,Treg,1.037037,156837310.0,6557.247,2.0207825,4.8943963,1353218.7818793172,1.0,0
H16N N-term,11/8/2019,Treg,0.345679,98335830.0,3717.6943,2.2600522,6.8984747,868651.4179830512,1.0,0
H16N N-term,11/8/2019,Treg,0.115226,98132776.0,4827.62,1.5465026,3.1266198,1305282.666705863,1.0,0
H16N N-term,11/8/2019,Treg,0.038409,79329810.0,1597.1543,2.3705246,12.177791,828573.8660815655,1.0,0
H16N N-term,11/8/2019,Treg,0.012803,84084900.0,2551.3174,1.8729669,6.0937214,779308.8825800351,1.0,0
H16N N-term,11/8/2019,Treg,0.004268,50265550.0,0.0,1.45169,3.798524,445418.4122949904,1.0,0
H16N N-term,11/8/2019,Treg,0.001423,60161148.0,0.0,1.4322906,4.6524334,607953.7581455982,1.0,0
H16N N-term,11/8/2019,Treg,0.000474,70843384.0,447.64355,1.6520772,5.104147,723045.5728574676,1.0,0
H16N N-term,11/8/2019,Treg,84.0,259160130.0,14950.015,0.94055927,0.57700753,1195759.8729386055,0.5,0
H16N N-term,11/8/2019,Treg,28.0,223825280.0,14347.927,1.0226666,1.3134718,1448645.3481164407,0.5,0
H16N N-term,11/8/2019,Treg,9.333333,220474030.0,11309.065,1.2877272,1.6094999,1500222.9289364195,0.5,0
H16N N-term,11/8/2019,Treg,3.111,175855360.0,8959.144,1.4588017,2.6964355,1427820.2273278064,0.5,0
H16N N-term,11/8/2019,Treg,1.037037,186491220.0,9789.163,1.3463321,2.1654735,1455776.2846909268,0.5,0
