kfwd_log__,rxn_log____0,rxn_log____1,rxn_log____2,rxn_log____3,rxn_log____4,rxn_log____5,rxn_log____6,rxn_log____7,endo_log____0,endo_log____1,kRec_kDeg_log____0,kRec_kDeg_log____1,IL2Raexpr_log____0,IL2Raexpr_log____1,IL2Raexpr_log____2,IL2Raexpr_log____3,sortF_logodds__,kfwd,rxn__0,rxn__1,rxn__2,rxn__3,rxn__4,rxn__5,rxn__6,rxn__7,endo__0,endo__1,kRec_kDeg__0,kRec_kDeg__1,IL2Raexpr__0,IL2Raexpr__1,IL2Raexpr__2,IL2Raexpr__3,sortF,Y_int,logp
-9.018989631,-2.416119979,-2.234852555,-2.151281809,-2.356225029,-2.349557641,-2.220639858,-2.215218947,-2.475494467,-2.382369806,-2.300342401,-2.261414015,-2.058770444,-0.076512477,-0.056857633,0.009767859,0.030684971,-0.798711636,0.000121088,0.089267305,0.107007906,0.116334943,0.09477733,0.095411359,0.108539637,0.109129618,0.084121385,0.09233151,0.100224521,0.104203036,0.127610778,0.926341356,0.944728558,1.00981572,1.031160607,0.31030118,3.412717422,1.781563385
-9.257972189,-2.125193034,-2.395932674,-2.375883645,-2.191703844,-2.2837279,-2.149311449,-2.243077726,-2.303668017,-2.204970893,-2.371404565,-2.186268368,-2.26342252,0.137491378,-0.037570758,0.051567792,-0.065726581,-0.413630523,9.53E-05,0.119409916,0.091087684,0.092932334,0.111726222,0.101903611,0.116564391,0.106131358,0.099891766,0.110253734,0.093349519,0.112335161,0.103993954,1.147391813,0.963126267,1.052920563,0.936386855,0.39804191,3.419296094,4.257768115
-9.611997649,-2.344795328,-2.255895844,-2.221789299,-2.255804234,-2.210347211,-2.4429628,-2.263954702,-2.288663471,-2.128513212,-2.432832666,-2.295563806,-2.398196142,-0.056108522,-0.181505228,0.049125496,-0.014962119,-0.883006431,6.69E-05,0.095866821,0.104779635,0.108414948,0.104789235,0.109662566,0.086902993,0.103938625,0.101401898,0.119014111,0.087787807,0.100704599,0.090881743,0.945436529,0.834013885,1.050352158,0.985149257,0.29255516,3.420971587,-3.202174257
-9.143553181,-2.292288115,-2.244718338,-2.244487873,-2.261117809,-2.416703658,-2.292063315,-2.477375462,-2.589727812,-2.252740683,-2.472523397,-2.128355638,-2.462365726,-0.015154053,-0.03273058,0.011035371,-0.046804375,-0.861400416,0.000106907,0.101035017,0.10595738,0.105981803,0.104233906,0.089215217,0.101057733,0.083963302,0.075040462,0.105110754,0.084371687,0.119032866,0.085233074,0.984960192,0.967799269,1.011096485,0.954274059,0.297046842,3.410409295,0.384860732
-9.195353778,-2.237445697,-2.323026721,-2.356461708,-2.189049165,-2.286014983,-2.562125315,-2.315926138,-2.131468377,-2.528063207,-2.366599969,-2.389277379,-2.21487717,0.126032925,-0.078809455,0.060951802,0.013738968,-0.332897016,0.00010151,0.106730779,0.097976589,0.094754901,0.112023214,0.101670816,0.077140618,0.098674755,0.118662924,0.079813453,0.093799105,0.091695921,0.109166922,1.134319515,0.924216012,1.062847686,1.013833781,0.417535902,3.415837645,0.435284176
-9.264085851,-2.261032236,-2.342365838,-2.313064424,-2.278323254,-2.309456586,-2.368583893,-2.211281132,-2.323052393,-2.286234301,-2.436088423,-2.31025683,-2.188804476,-0.101991533,0.21079984,0.138564517,-0.085872048,-0.79483817,9.48E-05,0.104242826,0.096100012,0.098957539,0.102455855,0.099315206,0.093613199,0.109560197,0.097974073,0.10164852,0.087502456,0.099235762,0.112050628,0.903037198,1.2346652,1.148623785,0.917711647,0.311130766,3.415596609,5.333578812
-9.349024377,-2.26259546,-2.292013556,-2.41422364,-2.2360488,-2.24946781,-2.374464765,-2.415367659,-2.440390405,-2.456186192,-2.149120786,-2.405104474,-2.341294446,-0.067006618,0.171605846,0.058865832,0.035024865,-0.778830847,8.71E-05,0.104079998,0.101062761,0.089436747,0.106879975,0.105455332,0.093064287,0.089334488,0.08712683,0.085761406,0.116586617,0.090256066,0.096203028,0.935189012,1.187209797,1.060632928,1.035645459,0.31457192,3.413936383,3.228529258
-9.061376572,-2.230626398,-2.320569745,-2.539236317,-2.176425237,-2.283819911,-2.399288082,-2.413706272,-2.386790018,-2.145002635,-2.315244059,-2.408818646,-2.264395955,-0.097119306,-0.083955271,0.051960011,0.114769552,-0.902511771,0.000116063,0.107461096,0.098217611,0.078926652,0.11344635,0.101894235,0.09078256,0.089483031,0.091924286,0.117067729,0.098742082,0.089921461,0.103892772,0.907447735,0.919472382,1.05333362,1.121614934,0.288534601,3.416225123,1.797529961
-9.012245263,-2.305604315,-2.303245365,-2.279508594,-2.419756685,-2.252519735,-2.287074657,-2.188356946,-2.119669399,-2.255743305,-2.227608385,-2.179060269,-2.260700172,0.13366357,0.000983835,-0.109166993,-0.053155906,-1.251016243,0.000121908,0.099698533,0.099933995,0.102334482,0.088943256,0.105133981,0.101563135,0.112100785,0.120071318,0.10479562,0.107785905,0.113147809,0.104277447,1.143008212,1.000984319,0.896580683,0.948232166,0.222524272,3.405677277,2.16415393
-9.046373382,-2.364574439,-2.196432442,-2.338912334,-2.462931694,-2.077483223,-2.271294459,-2.356245933,-2.224069148,-2.450010564,-2.263594195,-2.416906027,-2.260572182,-0.112971337,-0.027264896,0.047150843,0.071690155,-0.403493443,0.000117818,0.09398929,0.111199161,0.096432468,0.085184849,0.12524503,0.103178533,0.094775349,0.10816806,0.086292675,0.103976102,0.089197165,0.104290794,0.893176261,0.973103436,1.048280122,1.074322419,0.400473293,3.415676118,2.019763475
-9.143144097,-2.157996929,-2.256796452,-2.069625669,-2.305748983,-2.228324027,-2.318848791,-2.481367233,-2.392481985,-2.091553177,-2.199827446,-2.328336773,-2.10435436,-0.021943958,-0.119351959,-0.002904033,-0.01060987,-1.134142858,0.000106951,0.115556357,0.104685313,0.126233026,0.099684111,0.107708796,0.098386784,0.083628807,0.091402542,0.123495177,0.11082228,0.097457707,0.121924368,0.978295059,0.887495384,0.99710018,0.989446216,0.243397362,3.417136261,-1.08577777
