kfwd_log__,rxn_log____0,rxn_log____1,rxn_log____2,rxn_log____3,rxn_log____4,rxn_log____5,rxn_log____6,rxn_log____7,endo_log____0,endo_log____1,kRec_kDeg_log____0,kRec_kDeg_log____1,IL2Raexpr_log____0,IL2Raexpr_log____1,IL2Raexpr_log____2,IL2Raexpr_log____3,sortF_logodds__,kfwd,rxn__0,rxn__1,rxn__2,rxn__3,rxn__4,rxn__5,rxn__6,rxn__7,endo__0,endo__1,kRec_kDeg__0,kRec_kDeg__1,IL2Raexpr__0,IL2Raexpr__1,IL2Raexpr__2,IL2Raexpr__3,sortF,Y_15,logp
-9.383240714,-2.112509776,-2.416134931,-2.234189946,-3.439966678,-1.041595263,2.737922441,-2.220639858,-2.215218947,-2.379124742,-2.35941887,-2.057951909,-2.32800449,0.008630325,0.030688808,-0.077967209,0.002084843,-0.580896205,8.41E-05,0.120934068,0.089265971,0.107078834,0.032065754,0.352891278,15.45484337,0.108539637,0.109129618,0.092631619,0.09447511,0.127715275,0.097490096,1.008667673,1.031164564,0.924994758,1.002087018,0.358726403,83374.36302,#NAME?
-9.211421172,-2.351046356,-2.125197971,-2.395577795,-3.628716305,-0.9861027,2.69943523,-2.149311449,-2.243077726,-2.165120389,-2.340133536,-2.26265432,-2.197773837,0.050420552,-0.065724098,0.09928866,-0.06892654,-0.391352109,9.99E-05,0.095269424,0.119409326,0.091120015,0.026550245,0.373027663,14.87133047,0.116564391,0.106131358,0.114736121,0.096314776,0.104073872,0.111050099,1.051713303,0.93638918,1.104385045,0.933395245,0.40339185,83380.37345,#NAME?
-9.19641098,-2.705156094,-2.344801235,-2.255534216,-3.493478705,-0.973670185,2.789567696,-2.4429628,-2.263954702,-2.35872074,-2.484067568,-2.397530765,-2.371798309,0.047964466,-0.014958535,0.175670729,-0.130332057,-0.674737465,0.000101403,0.066859887,0.095866255,0.104817534,0.030394953,0.377694283,16.27398297,0.086902993,0.103938625,0.094541089,0.083403286,0.090942234,0.09331277,1.049133374,0.985152789,1.192045488,0.877803902,0.337436856,83374.84302,#NAME?
-9.497481117,-2.237244407,-2.292300813,-2.243953225,-3.518684203,-0.996008149,2.65950233,-2.292063315,-2.477375462,-2.317766175,-2.335292119,-2.461465435,-2.363528255,0.009902139,-0.046801012,0.051516732,-0.170054399,-0.220027508,7.50E-05,0.106752265,0.101033735,0.106038481,0.029638408,0.369350896,14.28917603,0.101057733,0.083963302,0.098493357,0.096782206,0.085309843,0.094087672,1.009951328,0.954277268,1.052866803,0.843618924,0.445213971,83381.0179,#NAME?
-9.039216903,-2.28870309,-2.237456356,-2.322517516,-3.60297407,-0.986287826,2.692941889,-2.562125315,-2.315926138,-2.176578869,-2.381372454,-2.213924885,-2.155718621,0.059797648,0.013741647,-0.223420567,-0.064219352,-0.940754249,0.000118664,0.101397881,0.106729642,0.098026491,0.02724258,0.372958612,14.77507868,0.077140618,0.098674755,0.113428923,0.092423643,0.10927093,0.11581993,1.061621704,1.013836497,0.799778418,0.937799269,0.280748013,83375.43166,#NAME?
-9.230798384,-2.357497533,-2.261043707,-2.341815003,-3.578599671,-1.02828755,2.720646991,-2.368583893,-2.211281132,-2.404603857,-2.091759175,-2.187965458,-2.320015818,0.137333411,-0.08586818,0.018249024,-0.133649534,-0.722237815,9.80E-05,0.094656803,0.10424163,0.096152962,0.027914761,0.357618841,15.19014696,0.093613199,0.109560197,0.090301261,0.12346974,0.11214468,0.098272031,1.147210577,0.917715197,1.018416555,0.874896632,0.326900391,83372.69678,#NAME?
-9.34813647,-2.442586401,-2.262608605,-2.291420546,-3.656171687,-1.032536326,2.725399856,-2.374464765,-2.415367659,-2.369618861,-2.130953741,-2.340377264,-2.310469621,0.057692758,0.035028754,-0.151640715,0.153275027,-0.988497827,8.71E-05,0.08693571,0.10407863,0.10112271,0.025831214,0.356102622,15.26251552,0.093064287,0.089334488,0.093516362,0.118724008,0.096291304,0.099214647,1.059389457,1.035649487,0.859296958,1.165645519,0.271208887,83373.58655,#NAME?
-9.294533627,-2.15463565,-2.230639096,-2.320072369,-3.765091688,-1.034173279,2.662026271,-2.399288082,-2.413706272,-2.399731619,-2.386516551,-2.263845248,-2.372208694,0.050792167,0.114773649,0.159187409,-0.012748244,-0.993902451,9.19E-05,0.115945428,0.107459731,0.098266474,0.023165488,0.355520175,14.32528662,0.09078256,0.089483031,0.090742304,0.091949428,0.103950002,0.093274484,1.052104208,1.121619529,1.172557674,0.98733267,0.27014196,83368.80014,#NAME?
-9.027419516,-2.105991631,-2.305621362,-2.302444746,-3.535342459,-1.128849165,2.790096401,-2.287074657,-2.188356946,-2.168948206,-2.301578622,-2.260002636,-2.501230225,-0.110205297,-0.053153357,0.048321466,0.074873064,-0.382017852,0.000120072,0.121724908,0.099696834,0.100014036,0.029148773,0.323405228,16.28258938,0.101563135,0.112100785,0.114297771,0.100100698,0.10435021,0.081984078,0.895650242,0.948234583,1.049507983,1.077747337,0.405640308,83377.41598,#NAME?
-9.131813775,-2.139718621,-2.364587079,-2.195888618,-3.596856622,-1.189426824,2.887715109,-2.271294459,-2.356245933,-2.415583686,-2.329825622,-2.259701593,-2.180354869,0.04598416,0.071694282,-0.14547623,0.038807317,-1.007328445,0.000108169,0.117687953,0.093988102,0.11125965,0.027409746,0.304395686,17.95224378,0.103178533,0.094775349,0.089315192,0.097312715,0.104381628,0.113001423,1.047057825,1.074326852,0.864610442,1.039570157,0.267503004,83369.46047,#NAME?
